RAW WEIGHT AND BIAS SUMMARY for ../models/yolo26n.pt
Parameter Name                                     | Shape                | Mean       | Std       
model.8.m.0.cv3.bn.bias                            | [128]                | -0.526957  | 0.696603  
model.8.m.0.cv3.bn.running_mean                    | [128]                | -0.446478  | 0.837167  
model.8.m.0.cv3.bn.running_var                     | [128]                | 0.848183   | 0.346639  
model.8.m.0.cv3.bn.num_batches_tracked             | []                   | 0.000000   | nan       
model.8.m.0.m.0.cv1.conv.weight                    | [64, 64, 3, 3]       | -0.002356  | 0.031452  
model.8.m.0.m.0.cv1.bn.weight                      | [64]                 | 1.177094   | 0.185102  
model.8.m.0.m.0.cv1.bn.bias                        | [64]                 | -0.699703  | 0.700639  
model.8.m.0.m.0.cv1.bn.running_mean                | [64]                 | -0.208333  | 0.205574  
model.8.m.0.m.0.cv1.bn.running_var                 | [64]                 | 0.089585   | 0.031573  
model.8.m.0.m.0.cv1.bn.num_batches_tracked         | []                   | 0.000000   | nan       
model.8.m.0.m.0.cv2.conv.weight                    | [64, 64, 3, 3]       | -0.002173  | 0.029914  
model.8.m.0.m.0.cv2.bn.weight                      | [64]                 | 1.150955   | 0.394066  
model.8.m.0.m.0.cv2.bn.bias                        | [64]                 | 0.077856   | 0.901186  
model.8.m.0.m.0.cv2.bn.running_mean                | [64]                 | -0.086822  | 0.273727  
model.8.m.0.m.0.cv2.bn.running_var                 | [64]                 | 0.255596   | 0.057441  
model.8.m.0.m.0.cv2.bn.num_batches_tracked         | []                   | 0.000000   | nan       
model.8.m.0.m.1.cv1.conv.weight                    | [64, 64, 3, 3]       | -0.002709  | 0.030293  
model.8.m.0.m.1.cv1.bn.weight                      | [64]                 | 1.206158   | 0.226364  
model.8.m.0.m.1.cv1.bn.bias                        | [64]                 | -0.396672  | 0.735029  
model.8.m.0.m.1.cv1.bn.running_mean                | [64]                 | -0.398874  | 0.608349  
model.8.m.0.m.1.cv1.bn.running_var                 | [64]                 | 0.768234   | 0.284964  
model.8.m.0.m.1.cv1.bn.num_batches_tracked         | []                   | 0.000000   | nan       
model.8.m.0.m.1.cv2.conv.weight                    | [64, 64, 3, 3]       | -0.001234  | 0.029818  
model.8.m.0.m.1.cv2.bn.weight                      | [64]                 | 1.697990   | 0.600853  
model.8.m.0.m.1.cv2.bn.bias                        | [64]                 | 0.992305   | 0.892162  
model.8.m.0.m.1.cv2.bn.running_mean                | [64]                 | -0.253242  | 0.561311  
model.8.m.0.m.1.cv2.bn.running_var                 | [64]                 | 0.381832   | 0.129135  
model.8.m.0.m.1.cv2.bn.num_batches_tracked         | []                   | 0.000000   | nan       
model.9.cv1.conv.weight                            | [128, 256, 1, 1]     | -0.004677  | 0.044543  
model.9.cv1.bn.weight                              | [128]                | 1.121735   | 0.181025  
model.9.cv1.bn.bias                                | [128]                | 0.000005   | 0.000117  
model.9.cv1.bn.running_mean                        | [128]                | -0.071145  | 0.375340  
model.9.cv1.bn.running_var                         | [128]                | 0.132880   | 0.045082  
model.9.cv1.bn.num_batches_tracked                 | []                   | 0.000000   | nan       
model.9.cv2.conv.weight                            | [256, 512, 1, 1]     | -0.000216  | 0.032124  
model.9.cv2.bn.weight                              | [256]                | 1.066820   | 0.321058  
model.9.cv2.bn.bias                                | [256]                | -1.312062  | 0.824335  
model.9.cv2.bn.running_mean                        | [256]                | -0.352397  | 1.389023  
model.9.cv2.bn.running_var                         | [256]                | 0.825058   | 0.414193  
model.9.cv2.bn.num_batches_tracked                 | []                   | 0.000000   | nan       
model.10.cv1.conv.weight                           | [256, 256, 1, 1]     | -0.003674  | 0.044548  
model.10.cv1.bn.weight                             | [256]                | 1.219795   | 0.301709  
model.10.cv1.bn.bias                               | [256]                | 0.015758   | 0.800519  
model.10.cv1.bn.running_mean                       | [256]                | 0.150890   | 0.405307  
model.10.cv1.bn.running_var                        | [256]                | 0.214982   | 0.169401  
model.10.cv1.bn.num_batches_tracked                | []                   | 0.000000   | nan       
model.10.cv2.conv.weight                           | [256, 256, 1, 1]     | -0.001101  | 0.042906  
model.10.cv2.bn.weight                             | [256]                | 0.969204   | 0.327990  
model.10.cv2.bn.bias                               | [256]                | -0.989577  | 0.901074  
model.10.cv2.bn.running_mean                       | [256]                | -0.075142  | 0.397671  
model.10.cv2.bn.running_var                        | [256]                | 0.552525   | 0.228197  
model.10.cv2.bn.num_batches_tracked                | []                   | 0.000000   | nan       
model.10.m.0.attn.qkv.conv.weight                  | [256, 128, 1, 1]     | -0.000269  | 0.050117  
model.10.m.0.attn.qkv.bn.weight                    | [256]                | 1.268998   | 0.423434  
model.10.m.0.attn.qkv.bn.bias                      | [256]                | 0.004881   | 0.373076  
model.10.m.0.attn.qkv.bn.running_mean              | [256]                | -0.021936  | 0.553501  
model.10.m.0.attn.qkv.bn.running_var               | [256]                | 0.205831   | 0.111497  
model.10.m.0.attn.qkv.bn.num_batches_tracked       | []                   | 0.000000   | nan       
model.10.m.0.attn.proj.conv.weight                 | [128, 128, 1, 1]     | 0.000176   | 0.058538  
model.10.m.0.attn.proj.bn.weight                   | [128]                | 0.704924   | 0.188934  
model.10.m.0.attn.proj.bn.bias                     | [128]                | -0.000002  | 0.000131  
model.10.m.0.attn.proj.bn.running_mean             | [128]                | 0.035616   | 0.177153  
model.10.m.0.attn.proj.bn.running_var              | [128]                | 0.166378   | 0.048273  
model.10.m.0.attn.proj.bn.num_batches_tracked      | []                   | 0.000000   | nan       
model.10.m.0.attn.pe.conv.weight                   | [128, 1, 3, 3]       | -0.027696  | 0.084866  
model.10.m.0.attn.pe.bn.weight                     | [128]                | 0.722744   | 0.334068  
model.10.m.0.attn.pe.bn.bias                       | [128]                | 0.000004   | 0.000128  
model.10.m.0.attn.pe.bn.running_mean               | [128]                | 0.012032   | 0.078814  
model.10.m.0.attn.pe.bn.running_var                | [128]                | 0.192115   | 0.238383  
model.10.m.0.attn.pe.bn.num_batches_tracked        | []                   | 0.000000   | nan       
model.10.m.0.ffn.0.conv.weight                     | [256, 128, 1, 1]     | -0.003245  | 0.044776  
model.10.m.0.ffn.0.bn.weight                       | [256]                | 0.834066   | 0.110354  
model.10.m.0.ffn.0.bn.bias                         | [256]                | -1.749439  | 0.281266  
model.10.m.0.ffn.0.bn.running_mean                 | [256]                | -0.141607  | 0.332380  
model.10.m.0.ffn.0.bn.running_var                  | [256]                | 0.264907   | 0.099112  
model.10.m.0.ffn.0.bn.num_batches_tracked          | []                   | 0.000000   | nan       
model.10.m.0.ffn.1.conv.weight                     | [128, 256, 1, 1]     | -0.000798  | 0.041454  
model.10.m.0.ffn.1.bn.weight                       | [128]                | 0.613140   | 0.130913  
model.10.m.0.ffn.1.bn.bias                         | [128]                | -0.000001  | 0.000089  
model.10.m.0.ffn.1.bn.running_mean                 | [128]                | 0.044248   | 0.230697  
model.10.m.0.ffn.1.bn.running_var                  | [128]                | 0.005265   | 0.001379  
model.10.m.0.ffn.1.bn.num_batches_tracked          | []                   | 0.000000   | nan       
model.13.cv1.conv.weight                           | [128, 384, 1, 1]     | -0.002472  | 0.043237  
model.13.cv1.bn.weight                             | [128]                | 0.763145   | 0.214376  
model.13.cv1.bn.bias                               | [128]                | 0.024906   | 0.891362  
model.13.cv1.bn.running_mean                       | [128]                | 0.127608   | 0.210817  
model.13.cv1.bn.running_var                        | [128]                | 0.093481   | 0.037133  
model.13.cv1.bn.num_batches_tracked                | []                   | 0.000000   | nan       
model.13.cv2.conv.weight                           | [128, 192, 1, 1]     | -0.005120  | 0.052593  
model.13.cv2.bn.weight                             | [128]                | 0.633547   | 0.222024  
model.13.cv2.bn.bias                               | [128]                | -0.224797  | 0.728737  
model.13.cv2.bn.running_mean                       | [128]                | -0.026688  | 0.363096  
model.13.cv2.bn.running_var                        | [128]                | 0.118524   | 0.051405  
model.13.cv2.bn.num_batches_tracked                | []                   | 0.000000   | nan       
model.13.m.0.cv1.conv.weight                       | [32, 64, 1, 1]       | -0.005834  | 0.086203  
model.13.m.0.cv1.bn.weight                         | [32]                 | 0.427715   | 0.122728  
model.13.m.0.cv1.bn.bias                           | [32]                 | 0.065697   | 0.454577  
model.13.m.0.cv1.bn.running_mean                   | [32]                 | 0.067467   | 0.407880  
model.13.m.0.cv1.bn.running_var                    | [32]                 | 0.075271   | 0.029175  
model.13.m.0.cv1.bn.num_batches_tracked            | []                   | 0.000000   | nan       
model.13.m.0.cv2.conv.weight                       | [32, 64, 1, 1]       | -0.008197  | 0.070381  
model.13.m.0.cv2.bn.weight                         | [32]                 | 1.172684   | 0.154911  
model.13.m.0.cv2.bn.bias                           | [32]                 | -0.308328  | 0.583018  
model.13.m.0.cv2.bn.running_mean                   | [32]                 | -0.032411  | 0.223218  
model.13.m.0.cv2.bn.running_var                    | [32]                 | 0.046837   | 0.012062  
model.13.m.0.cv2.bn.num_batches_tracked            | []                   | 0.000000   | nan       
model.13.m.0.cv3.conv.weight                       | [64, 64, 1, 1]       | -0.005516  | 0.074522  
model.13.m.0.cv3.bn.weight                         | [64]                 | 0.872890   | 0.156644  
model.13.m.0.cv3.bn.bias                           | [64]                 | -0.256803  | 0.627475  
model.13.m.0.cv3.bn.running_mean                   | [64]                 | -0.385540  | 1.161302  
model.13.m.0.cv3.bn.running_var                    | [64]                 | 0.364996   | 0.119013  
model.13.m.0.cv3.bn.num_batches_tracked            | []                   | 0.000000   | nan       
model.13.m.0.m.0.cv1.conv.weight                   | [32, 32, 3, 3]       | -0.003229  | 0.047870  
model.13.m.0.m.0.cv1.bn.weight                     | [32]                 | 0.805573   | 0.103120  
model.13.m.0.m.0.cv1.bn.bias                       | [32]                 | -0.556472  | 0.610978  
model.13.m.0.m.0.cv1.bn.running_mean               | [32]                 | -0.152493  | 0.165593  
model.13.m.0.m.0.cv1.bn.running_var                | [32]                 | 0.048662   | 0.017228  
